;game_url;review;label
0;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 23 декабря 2019
ну это вангеры че, спасибо Булджать ёпт:)";"Рекомендую
8.8 ч. всего"
1;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 8 апреля
МОЛИТЕСЬ";"Рекомендую
7.2 ч. всего"
2;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 30 декабря 2019
МОЛИТЕСЬ!";"Рекомендую
10.6 ч. всего"
3;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 24 декабря 2019
Спасибо БУЛДЖАТь!";"Рекомендую
3.7 ч. всего"
4;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 8 января
Вы ездите на прыгающей машинке, по космическому бублику с начинкой из психотропных грибов!
Спасибо Булджать)";"Рекомендую
1.9 ч. всего"
5;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 26 апреля 2014
Необычная, отличная ностальгическая игра для всех, кто вырос в 90-е и помнит как с витрин магазинов манили большие, дорогие(реально очень дорогие по тем временам для нас, тогдашних школьников) коробки с лицензионной игрой ""Вангеры"" - одной из первых в России лицензионных игр вообще. И, что самое главное, игра была сделана нашими и, при этом, была реально отличной. В хорошем смысле странной, немного безумной, но тем ещё более интересной.

И тут, внезапно, она появляется в Стиме. И в 2014-м году я снова везу Флегму в Подишь и снова читаю смешные диалоги с тамошними чудиками! Не мог такое пропустить ни за что.

P.S. Игрокам, которые знать не знают что такое ""Вангеры"", но которым хочется попробовать эту экзотику, первым делом важно знать две вещи:
1. Как зайдете в игру обязательно настройте управление под себя. Прежде всего ""прыжок""(пружина) и перевороты тачки, ну и всё остальное. Это важно, т.к. то что по умолчанию, по традиции большинства олдскульных игр, не очень удобно.
2. Впервые войдя в игру не забывайте что в Инкубаторе любят нимбос, а в Подише - флегму, они там любят в ней купаться.:) На этом можно поднять первые деньжата, ну а дальше просто слушайте что вам говорят и всё пойдет как надо.

P.S.S.: Спасибо разработчикам большущее! =)";"Рекомендую
1.8 ч. всего"
6;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 12 июня
лучший симулятор российских дорог. 10 биб из 10.";"Рекомендую
2.7 ч. всего"
7;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 18 января
Dark souls? Sekiro? Может лучше В А Н Г Е Р Ы ???
(Бэбэй где обзор???)";"Рекомендую
0.4 ч. всего"
8;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 24 февраля
Как ушлый обуреваемый агент имею полное право рапортовать, что Вангеры — отличная игра! Рекомендую к ознакомлению. Спасибо товарищу БУЛДЖАТь за наводку. Слава Бюро!";"Рекомендую
33.7 ч. всего"
9;https://store.steampowered.com/app/264080/Vangers/?snr=1_7_7_230_150_15;"Опубликовано: 25 декабря 2019
Посмотрел Булджат, решил заценить и вспомнил, что она у меня есть. И вспомнл, как она мне мозг колупала своим интефейсом.";"Рекомендую
0.3 ч. всего"
